Date,Open,High,Low,Close,Volume,M2NS
1998-10-01,1017.01,1103.78,923.32,1098.67,10000916665.0,4291.4
1998-11-01,1098.67,1192.97,1098.67,1163.63,7472933335.0,4345.9
1998-12-01,1163.63,1244.93,1136.89,1229.23,8434138890.0,4399.6
1999-01-01,1229.23,1280.37,1205.46,1279.64,9007500001.0,4409.5
1999-02-01,1279.64,1283.84,1211.89,1238.33,8086588888.0,4418.7
1999-03-01,1238.33,1323.82,1216.03,1286.37,10001388890.0,4455.6
1999-04-01,1286.37,1371.56,1282.56,1335.18,10290666667.0,4501.4
1999-05-01,1335.18,1375.98,1277.31,1301.84,8822366667.0,4464.1
1999-06-01,1301.84,1372.93,1277.47,1372.71,8932872226.0,4494.7
1999-07-01,1372.71,1420.33,1328.49,1328.72,8518294443.0,4519.6
1999-08-01,1328.72,1382.84,1267.73,1320.41,8788083333.0,4539.4
1999-09-01,1320.41,1361.39,1256.26,1282.71,9132611113.0,4553.1
1999-10-01,1282.71,1373.17,1233.7,1362.93,10462222222.0,4574.8
1999-11-01,1362.93,1425.31,1346.41,1389.07,10213788889.0,4610.2
1999-12-01,1388.91,1473.13,1387.38,1469.25,10911494445.0,4664.5
2000-01-01,1469.25,1478.0,1350.14,1394.46,11941333334.0,4672.6
2000-02-01,1394.46,1444.55,1325.07,1366.42,11617777779.0,4674.4
2000-03-01,1366.42,1552.87,1346.62,1498.58,14531222225.0,4736.0
2000-04-01,1498.58,1527.19,1339.4,1452.43,11170255554.0,4806.1
2000-05-01,1452.43,1481.51,1361.09,1420.6,11054611110.0,4732.3
2000-06-01,1420.6,1488.93,1420.6,1454.6,12076833336.0,4757.7
2000-07-01,1454.6,1517.32,1413.89,1430.83,10605055554.0,4773.9
2000-08-01,1430.83,1525.21,1425.43,1517.68,11313166668.0,4804.4
2000-09-01,1517.68,1530.09,1419.44,1436.51,11576833333.0,4840.0
2000-10-01,1436.52,1454.82,1305.79,1429.4,14417444445.0,4853.9
2000-11-01,1429.4,1438.46,1294.9,1314.95,11406833334.0,4882.0
2000-12-01,1314.95,1389.05,1254.07,1320.28,13117111114.0,4953.0
2001-01-01,1320.28,1383.37,1274.62,1366.01,15461000000.0,4979.0
2001-02-01,1366.01,1376.38,1215.44,1239.94,12024666666.0,5008.0
2001-03-01,1239.94,1267.42,1081.19,1160.33,15448116667.0,5098.3
2001-04-01,1160.33,1269.3,1091.99,1249.46,14116661111.0,5174.1
2001-05-01,1249.46,1315.93,1232.0,1255.82,13625500000.0,5111.2
2001-06-01,1255.82,1286.62,1203.03,1224.38,13748905556.0,5160.6
2001-07-01,1224.42,1239.78,1165.54,1211.23,13218727778.0,5189.2
2001-08-01,1211.23,1226.27,1124.87,1133.58,12977333333.0,5225.0
2001-09-01,1133.58,1155.4,944.75,1040.94,13902938889.0,5336.6
2001-10-01,1040.94,1110.61,1026.76,1059.78,16639600001.0,5321.7
2001-11-01,1059.78,1163.38,1054.31,1139.45,14627777780.0,5384.7
2001-12-01,1139.45,1173.62,1114.53,1148.08,13960316666.0,5465.0
2002-01-01,1148.08,1176.97,1081.66,1130.2,16525666669.0,5451.0
2002-02-01,1130.2,1130.2,1074.36,1106.73,14470888889.0,5470.4
2002-03-01,1106.73,1173.94,1106.73,1147.39,14757333332.0,5519.2
2002-04-01,1147.39,1147.84,1063.46,1076.92,15871611110.0,5533.4
2002-05-01,1076.92,1106.59,1048.96,1067.14,14947500000.0,5499.8
2002-06-01,1067.14,1070.74,952.92,989.82,16656394445.0,5537.8
2002-07-01,989.82,994.46,775.68,911.62,23460399999.0,5578.7
2002-08-01,911.62,965.0,833.44,916.07,16276888887.0,5621.7
2002-09-01,916.07,924.02,800.2,815.28,15402061112.0,5646.5
2002-10-01,815.28,907.44,768.63,885.76,21031283335.0,5685.3
2002-11-01,885.76,941.82,872.05,936.31,16222755556.0,5757.5
2002-12-01,936.31,954.28,869.45,879.82,14440911110.0,5804.0
2003-01-01,879.82,935.05,840.34,855.7,17083099998.0,5793.5
2003-02-01,855.7,864.64,806.29,841.15,14019611111.0,5820.8
2003-03-01,841.15,895.9,788.9,848.18,16711127779.0,5882.1
2003-04-01,848.18,924.24,847.85,916.92,16483116666.0,5938.5
2003-05-01,916.92,965.38,902.83,963.59,17195611111.0,5938.2
2003-06-01,963.59,1015.33,963.59,974.5,17344111112.0,5992.4
2003-07-01,974.5,1015.41,962.1,990.31,17529555555.0,6035.3
2003-08-01,990.31,1011.01,960.84,1008.01,13823038889.0,6091.8
2003-09-01,1008.01,1040.29,990.36,995.97,16633394445.0,6063.9
2003-10-01,995.97,1053.79,995.97,1050.71,17943611112.0,6048.3
2003-11-01,1050.71,1063.65,1031.2,1058.2,13590677779.0,6077.0
2003-12-01,1058.2,1112.56,1053.41,1111.92,15466183332.0,6098.6
2004-01-01,1111.92,1155.38,1105.08,1131.13,18233333332.0,6058.9
2004-02-01,1131.13,1158.98,1124.44,1144.94,15547555554.0,6089.0
2004-03-01,1144.94,1163.23,1087.16,1126.21,18665499999.0,6168.5
2004-04-01,1126.21,1150.57,1107.23,1107.3,17562166667.0,6235.9
2004-05-01,1107.3,1127.74,1076.32,1120.68,16292444444.0,6249.6
2004-06-01,1120.68,1146.34,1113.32,1140.84,15294166667.0,6272.8
2004-07-01,1140.84,1140.84,1078.78,1101.72,16269777778.0,6279.1
2004-08-01,1101.72,1109.68,1060.72,1104.24,14770444443.0,6300.9
2004-09-01,1104.24,1131.54,1099.18,1114.58,14905483332.0,6334.0
2004-10-01,1114.58,1142.05,1090.29,1130.2,17506111110.0,6355.6
2004-11-01,1130.2,1188.46,1127.6,1173.82,16922377778.0,6405.1
2004-12-01,1173.78,1217.33,1173.78,1211.92,17279166667.0,6447.4
2005-01-01,1211.92,1217.8,1163.75,1181.27,17499333333.0,6404.1
2005-02-01,1181.27,1212.44,1180.95,1203.6,16276338888.0,6405.7
2005-03-01,1203.6,1229.11,1163.69,1180.59,21674527778.0,6464.9
2005-04-01,1180.59,1191.88,1136.15,1156.85,24124594443.0,6508.3
2005-05-01,1156.85,1199.56,1146.18,1191.5,21845550000.0,6459.8
2005-06-01,1191.5,1219.59,1188.3,1191.33,22407800000.0,6511.8
2005-07-01,1191.33,1245.15,1183.55,1234.18,20813705553.0,6530.7
2005-08-01,1234.18,1245.86,1201.07,1220.33,23350050001.0,6555.0
2005-09-01,1220.33,1243.13,1205.35,1228.81,24876394444.0,6587.7
2005-10-01,1228.81,1233.34,1168.2,1207.01,27663216665.0,6615.0
2005-11-01,1207.01,1270.64,1201.07,1249.48,25057150000.0,6655.7
2005-12-01,1249.48,1275.8,1246.59,1248.29,23197850001.0,6708.9
2006-01-01,1248.29,1294.9,1245.74,1280.08,27339805558.0,6707.1
2006-02-01,1280.08,1297.57,1253.61,1280.66,23811077777.0,6724.2
2006-03-01,1280.66,1310.88,1268.42,1294.87,28280577778.0,6796.7
2006-04-01,1302.88,1318.16,1280.74,1310.61,24060238890.0,6860.1
2006-05-01,1310.61,1326.7,1245.34,1270.09,30173794443.0,6798.4
2006-06-01,1270.05,1290.68,1219.29,1270.2,30485144444.0,6852.1
2006-07-01,1270.06,1280.42,1224.54,1276.66,25749011112.0,6873.6
2006-08-01,1278.53,1306.74,1261.3,1303.82,28047566667.0,6892.3
2006-09-01,1303.8,1340.28,1290.93,1335.85,27223022222.0,6919.7
2006-10-01,1335.82,1389.45,1327.1,1377.94,31552011111.0,6962.5
2006-11-01,1377.76,1407.89,1360.98,1400.63,30746627777.0,7024.9
2006-12-01,1400.63,1431.81,1385.93,1418.3,26432655554.0,7100.1
2007-01-01,1418.03,1441.61,1403.97,1438.24,31492333333.0,7098.2
2007-02-01,1437.9,1461.57,1389.42,1406.82,28802772220.0,7109.7
2007-03-01,1406.8,1438.89,1363.98,1420.86,37567916666.0,7207.6
2007-04-01,1420.83,1498.02,1416.37,1482.37,31684705556.0,7296.5
2007-05-01,1482.37,1535.56,1476.7,1530.62,36087805555.0,7241.0
2007-06-01,1530.62,1540.56,1484.18,1503.35,36290444444.0,7285.1
2007-07-01,1504.66,1555.9,1454.25,1455.27,39076350000.0,7287.9
2007-08-01,1455.18,1503.89,1370.6,1473.99,50767644446.0,7347.2
2007-09-01,1473.96,1538.74,1439.29,1526.75,32116499999.0,7367.6
2007-10-01,1527.29,1576.09,1489.56,1549.38,42234766664.0,7378.6
2007-11-01,1545.79,1545.79,1406.1,1481.14,47914972224.0,7436.8
2007-12-01,1479.63,1523.57,1435.65,1468.36,36012038888.0,7504.2
2008-01-01,1467.97,1471.77,1270.05,1378.55,54708522221.0,7502.6
2008-02-01,1378.6,1396.02,1316.75,1330.63,43631183333.0,7585.2
2008-03-01,1330.45,1359.68,1256.98,1322.7,51771761111.0,7719.2
2008-04-01,1326.41,1404.57,1324.35,1385.59,47765905556.0,7767.6
2008-05-01,1385.97,1440.24,1373.07,1400.38,44994711111.0,7709.1
2008-06-01,1399.62,1404.05,1272.0,1280.0,53674466666.0,7731.7
2008-07-01,1276.69,1292.17,1200.44,1267.38,69433649999.0,7745.0
2008-08-01,1269.42,1313.15,1247.45,1282.83,47925561111.0,7742.7
2008-09-01,1287.83,1303.04,1106.42,1166.36,77781844443.0,7815.6
2008-10-01,1164.17,1167.03,839.8,968.75,88790572223.0,7922.1
2008-11-01,968.67,1007.51,741.02,896.24,64255672223.0,8012.5
2008-12-01,888.61,918.85,815.69,903.25,62713594442.0,8231.5
2009-01-01,902.99,943.85,804.3,825.88,62272577777.0,8276.4
2009-02-01,823.09,875.01,734.52,735.09,69162338890.0,8305.2
2009-03-01,729.57,832.98,666.79,797.87,89913133333.0,8441.1
2009-04-01,793.59,888.7,783.32,872.81,77141844445.0,8441.5
2009-05-01,872.74,930.17,866.1,919.14,73119411113.0,8428.6
2009-06-01,923.26,956.23,888.86,919.32,62585083333.0,8441.3
2009-07-01,920.82,996.68,869.32,987.48,59242105555.0,8407.6
2009-08-01,990.22,1039.47,978.51,1020.62,64477372223.0,8386.7
2009-09-01,1019.52,1080.15,991.97,1057.08,62386383333.0,8394.9
2009-10-01,1054.91,1101.36,1019.95,1036.19,63006105555.0,8426.4
2009-11-01,1036.18,1113.69,1029.38,1095.63,47211961111.0,8501.2
2009-12-01,1098.89,1130.38,1085.89,1115.1,49730738885.0,8543.7
