Date,CPI,E INFL,GDP growth,retail food services,PPI,Risk Premium,QE,Real interest rate,unemployment,oil,Open,High,Low,Close,Volume,M2NS
2008-01-01,4.280294,2.466622,-3.043396159893534,375236,17.0,1.1340748,894807.8,1.39949068,5.0,92.18,1467.97,1471.77,1270.05,1378.55,54708522221.0,7502.6
2008-02-01,4.026556,2.2977869,-2.314780734177575,371833,15.9,1.1120286,881700.25,1.11112286,4.9,94.99,1378.6,1396.02,1316.75,1330.63,43631183333.0,7585.2
2008-03-01,3.981456,1.9336763,1.0596181790564814,372745,18.6,1.1047946,890096.0,1.02522008,5.1,103.64,1330.45,1359.68,1256.98,1322.7,51771761111.0,7719.2
2008-04-01,3.93689,2.0175043,4.407372427693101,372572,19.5,1.1293766,886510.6,1.06289422,5.0,109.07,1326.41,1404.57,1324.35,1385.59,47765905556.0,7767.6
2008-05-01,4.175543,2.2868435,3.1079797627680708,376036,23.3,1.2405561,892986.0,1.40051629,5.4,122.8,1385.97,1440.24,1373.07,1400.38,44994711111.0,7709.1
2008-06-01,5.02179,2.7285115,1.308900235485703,376455,26.7,1.2169889,895391.5,1.48755401,5.6,132.32,1399.62,1404.05,1272.0,1280.0,53674466666.0,7731.7
2008-07-01,5.600123,2.9490198,-1.8289420690954468,375038,30.4,1.1970234,905993.4,1.44558109,5.8,132.72,1276.69,1292.17,1200.44,1267.38,69433649999.0,7745.0
2008-08-01,5.371855,3.0525448,-4.955503260508863,372284,26.6,1.184959,906233.75,1.35649733,6.1,113.24,1269.42,1313.15,1247.45,1282.83,47925561111.0,7742.7
2008-09-01,4.936927,2.7309252,-9.343685761010766,366729,23.4,1.1731495,1009474.0,1.23957472,6.1,97.23,1287.83,1303.04,1106.42,1166.36,77781844443.0,7815.6
2008-10-01,3.655186,1.6072395,-8.61204539910488,352950,11.7,1.2066017,1727614.6,1.48506331,6.5,71.58,1164.17,1167.03,839.8,968.75,88790572223.0,7922.1
2008-11-01,1.069575,0.78457206,-11.064612005802983,339350,-2.2,1.2455393,2145077.75,1.63162854,6.8,52.45,968.67,1007.51,741.02,896.24,64255672223.0,8012.5
2008-12-01,0.0914129,0.28299557,-7.864168093489898,332091,-7.7,1.1710135,2222737.4,0.97537985,7.3,39.95,888.61,918.85,815.69,903.25,62713594442.0,8231.5
2009-01-01,0.0298465,0.47357505,-4.478861011937241,336929,-9.8,1.15917,2033836.75,0.93854104,7.8,43.44,902.99,943.85,804.3,825.88,62272577777.0,8276.4
2009-02-01,0.2361911,0.38164688,0.1543527553459545,335576,-13.4,1.1539969,1881628.5,1.03930649,8.3,43.32,823.09,875.01,734.52,735.09,69162338890.0,8305.2
2009-03-01,-0.3835562,-0.48067803,-2.2841408683739712,329747,-19.8,1.1647245,1984832.25,1.25074177,8.7,46.54,729.57,832.98,666.79,797.87,89913133333.0,8441.1
2009-04-01,-0.7368857,1.2289362,-0.4610281800919531,331352,-21.8,1.1268905,2123506.2,0.71281967,9.0,50.18,793.59,888.7,783.32,872.81,77141844445.0,8441.5
2009-05-01,-1.281436,1.2972457,-0.11402032953373586,334256,-25.8,1.225951,2134464.0,1.0174109,9.4,57.3,872.74,930.17,866.1,919.14,73119411113.0,8428.6
2009-06-01,-1.426776,1.2745119,-0.07195775131120197,339883,-26.4,1.2439714,2057022.5,1.32210554,9.5,68.61,923.26,956.23,888.86,919.32,62585083333.0,8441.3
2009-07-01,-2.097161,1.5522347,1.4792462936086568,340517,-33.0,1.2420316,2022073.2,1.26690282,9.5,64.44,920.82,996.68,869.32,987.48,59242105555.0,8407.6
2009-08-01,-1.484349,2.0245319,2.126708512366372,346668,-24.0,1.2199233,2034911.25,1.15904037,9.6,72.51,990.22,1039.47,978.51,1020.62,64477372223.0,8386.7
2009-09-01,-1.286206,2.3608109,4.55496982403636,338507,-22.8,1.187508,2122220.0,0.94923764,9.8,67.65,1019.52,1080.15,991.97,1057.08,62386383333.0,8394.9
2009-10-01,-0.1828483,1.6283633,5.34335618477721,341654,-11.2,1.1761974,2173382.25,0.99714116,10.0,72.77,1054.91,1101.36,1019.95,1036.19,63006105555.0,8426.4
2009-11-01,1.838296,1.8070337,4.629844190093828,344375,0.6,1.1927549,2178795.5,1.06141004,9.9,76.66,1036.18,1113.69,1029.38,1095.63,47211961111.0,8501.2
2009-12-01,2.721331,1.7866037,1.7380306087432174,346072,7.2,1.1668623,2219218.0,0.84804056,9.9,74.46,1098.89,1130.38,1085.89,1115.1,49730738885.0,8543.7
2010-01-01,2.625709,1.6957593,1.268126768770151,346043,10.7,1.3275341,2256424.0,1.29792486,9.8,76.17,1116.56,1150.45,1071.59,1073.87,50526433334.0,8464.4
2010-02-01,2.143332,1.7316171,0.8926276436720522,346835,11.7,1.2811064,2267424.75,1.12451541,9.8,73.75,1073.89,1112.42,1044.5,1104.49,46978522223.0,8508.4
2010-03-01,2.313959,1.9701388,4.260540109621744,354360,15.2,1.2516075,2298183.4,0.99873153,9.9,78.83,1105.36,1180.69,1105.36,1169.43,57601972221.0,8576.6
2010-04-01,2.236447,1.587202,4.688860976732716,357461,15.3,1.3081659,2328737.0,1.3091053,9.9,84.82,1171.23,1219.8,1170.69,1186.69,64856616666.0,8601.8
2010-05-01,2.020986,1.562963,4.0765800437649355,354255,14.0,1.2817381,2336799.5,1.22638786,9.6,75.95,1188.58,1205.13,1040.78,1089.41,70923766664.0,8584.2
2010-06-01,1.053349,1.3532178,3.020425491564451,353766,9.4,1.2340777,2337481.8,1.01936098,9.4,74.76,1087.3,1131.23,1028.33,1030.71,61170416668.0,8606.4
2010-07-01,1.235193,0.96279857,2.9355586429095726,354844,11.6,1.1848002,2332588.5,0.84675907,9.4,75.58,1031.1,1120.95,1010.91,1101.6,52654505553.0,8576.9
2010-08-01,1.148105,1.3411201,2.825381876203505,356610,9.9,1.1658476,2317172.25,0.65616389,9.5,77.04,1107.53,1129.24,1039.7,1049.33,47632361110.0,8607.7
2010-09-01,1.143683,0.90713698,3.161854449414381,359646,10.8,1.1467902,2301947.8,0.57706775,9.5,77.84,1049.72,1157.16,1049.72,1141.2,44216361108.0,8649.5
2010-10-01,1.172188,1.3652619,2.7882713097097893,363577,11.4,1.1236226,2304649.0,0.40880525,9.4,82.67,1143.49,1196.14,1131.87,1183.26,49742372224.0,8710.4
2010-11-01,1.143161,1.3962369,1.1760396387924226,367198,10.3,1.1177811,2318469.75,0.33888956,9.8,85.28,1185.71,1227.08,1173.0,1180.55,48417261112.0,8775.5
2010-12-01,1.495723,1.4938723,-1.2119686342584903,369229,11.6,1.2103835,2392691.8,0.62620927,9.3,91.45,1186.6,1262.6,1186.6,1257.64,44991405555.0,8857.6
2011-01-01,1.631847,1.7900451,-3.059233911375134,372025,10.8,1.2715228,2443221.5,0.86397716,9.1,96.52,1257.62,1302.67,1257.62,1286.12,51202744443.0,8850.0
2011-02-01,2.107585,1.9547432,-1.5078181112163516,375064,14.8,1.2505481,2502997.25,0.82968718,9.0,103.72,1289.14,1344.07,1289.14,1327.22,32902033335.0,8887.1
2011-03-01,2.681603,2.1063793,4.754143249143397,378576,15.9,1.2381054,2585821.0,0.87385088,9.0,114.64,1328.64,1332.28,1249.05,1325.83,49726466668.0,9000.6
2011-04-01,3.163631,2.0757372,4.009759861506134,380337,18.7,1.2472274,2672712.75,0.97750283,9.1,123.26,1329.48,1364.56,1294.7,1363.61,42980449999.0,9055.6
2011-05-01,3.568646,2.292302,2.372557312512722,380219,19.3,1.1916548,2749065.0,0.71147484,9.0,114.99,1365.21,1370.58,1311.8,1345.2,45393877781.0,9025.6
2011-06-01,3.558828,2.1177045,-0.45375083909358427,383327,20.4,1.1663034,2829826.4,0.49226699,9.1,113.83,1345.2,1345.2,1258.07,1320.64,47845961112.0,9113.9
2011-07-01,3.628716,2.432348,-1.9047981699161798,382954,20.5,1.1992538,2870763.5,0.57395235,9.0,116.97,1320.64,1356.48,1282.86,1292.28,45056761113.0,9266.6
2011-08-01,3.771208,1.5113148,-0.14966042718639194,383839,18.3,1.1649313,2862173.0,0.39497491,9.0,110.22,1292.59,1307.38,1101.54,1218.89,60232872223.0,9461.8
2011-09-01,3.868357,1.008876,3.1652436957598833,387758,18.8,1.1440924,2857717.0,0.21493888,9.0,112.83,1219.12,1229.29,1114.22,1131.42,57103788887.0,9500.3
2011-10-01,3.5252,1.4656093,6.45928747337954,390104,14.5,1.1446024,2854649.5,0.09856249,8.8,109.55,1131.21,1292.66,1074.77,1253.3,54479816667.0,9550.1
2011-11-01,3.394378,1.5052488,5.045458384497064,391393,13.7,1.1647874,2825922.2,0.13706953,8.6,110.77,1251.0,1277.55,1158.66,1246.96,46819472221.0,9633.1
2011-12-01,2.962419,1.7116627,4.5019407194596734,391585,10.1,1.1775767,2891339.75,0.14446831,8.5,107.87,1246.91,1269.37,1202.37,1257.6,41523572223.0,9729.2
2012-01-01,2.925217,1.4714419,3.0889902941529783,395641,8.0,1.1758662,2913951.5,0.14610051,8.3,110.69,1258.86,1333.47,1258.86,1312.41,44204199999.0,9761.9
2012-02-01,2.871099,1.5014226,2.2183106468516804,400385,5.8,1.1563519,2929930.0,0.02185103,8.3,119.33,1312.45,1378.04,1312.45,1365.68,43547616666.0,9787.0
2012-03-01,2.651398,1.3620536,1.580091990554295,401654,5.0,1.1826697,2887272.5,0.16923691,8.2,125.45,1365.9,1419.15,1340.03,1408.47,46610922225.0,9903.1
2012-04-01,2.30274,1.6869361,1.9676658494432409,400237,0.6,1.2034739,2868677.25,0.19464573,8.2,119.75,1408.47,1422.38,1357.38,1397.91,41534283333.0,9948.9
2012-05-01,1.704254,1.5903147,2.0029331530522545,399367,-2.2,1.1667997,2856312.6,-0.08722198,8.2,110.34,1397.86,1415.32,1291.98,1310.33,48289161111.0,9882.9
2012-06-01,1.663994,0.78930567,1.0734302440864927,395553,-4.1,1.139161,2863870.5,-0.04815105,8.2,95.16,1309.87,1363.46,1266.74,1362.16,45323577778.0,9960.8
2012-07-01,1.408451,1.2966497,0.8401515451499217,397650,-4.5,1.1662842,2858675.25,-0.05482603,8.2,102.62,1362.33,1391.74,1325.41,1379.32,40613227776.0,10005.9
2012-08-01,1.692379,1.3700924,-0.07853985261702601,402287,-0.5,1.1504595,2835816.6,-0.06008478,8.1,113.36,1379.32,1426.68,1354.65,1406.58,39046561111.0,10069.0
2012-09-01,1.991282,1.9315046,-0.20628748060970814,405455,0.7,1.1308315,2817912.0,-0.16925714,7.8,112.86,1406.54,1474.51,1396.56,1440.67,38769044443.0,10165.2
2012-10-01,2.162344,1.6131067,-0.8830720717497109,405572,2.4,1.1512764,2826231.2,-0.09317224,7.8,111.71,1440.9,1470.96,1403.28,1412.16,39862399998.0,10245.8
2012-11-01,1.764134,1.6632266,1.6617901225064393,407386,0.4,1.1812764,2857639.5,-0.00573705,7.7,109.06,1412.2,1434.27,1343.35,1416.18,39716283335.0,10343.0
