Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1983-10-02,169.53,170.41,165.63,166.07,215505556
1983-10-09,165.99,171.1,164.93,170.8,272838890
1983-10-16,170.77,172.65,169.13,169.86,200855556
1983-10-23,169.85,171.18,164.98,165.95,252355555
1983-10-30,165.85,167.15,163.23,163.37,226816668
1983-11-06,163.37,165.21,162.22,162.44,231422221
1983-11-13,162.42,166.3,161.63,166.29,211333334
1983-11-20,166.29,167.58,164.5,165.09,231733333
1983-11-27,165.04,167.26,165,167.18,211772222
1983-12-04,167.2,168.07,165.25,165.44,277627778
1983-12-11,165.44,166.34,164.5,165.08,265833334
1983-12-18,165.13,165.63,161.58,162.39,236444445
1983-12-25,162.34,164.18,161.64,163.22,242205555
1984-01-01,163.22,165.84,163.22,164.93,171033333
1984-01-08,164.93,169.31,163.98,169.28,267722222
1984-01-15,169.18,169.54,166.64,167.02,286961111
1984-01-22,167.02,168.34,165.87,166.21,270694445
1984-01-29,166.21,167.12,163.07,163.94,285194444
1984-02-05,164.4,164.67,160.82,160.91,302311111
1984-02-12,160.91,160.91,154.3,156.3,296683334
1984-02-19,156.3,157.48,154.13,155.74,235266668
1984-02-26,155.71,157.51,152.13,157.51,202672222
1984-03-04,157.51,159.9,156.41,159.24,262911111
1984-03-11,159.24,159.24,153.77,154.35,220744444
1984-03-18,154.35,160.45,154.35,159.27,256577779
1984-03-25,159.27,159.27,156.02,156.86,224883333
1984-04-01,156.86,160.46,156.31,159.18,222594444
1984-04-08,159.18,159.87,154.12,155.48,252716667
1984-04-15,155.48,158.87,154.17,157.31,237105555
1984-04-22,157.31,159.59,156.49,158.02,184955555
1984-04-29,158.02,160.69,156.61,159.89,238994444
1984-05-06,159.89,162.11,158.93,159.11,267144445
1984-05-13,159.11,161.31,157.42,158.49,244194444
1984-05-20,158.49,158.49,155.24,155.78,229966667
1984-05-27,155.78,156.11,150.8,151.62,234072223
1984-06-03,151.62,153.24,148.68,153.24,195916667
1984-06-10,153.24,155.4,153.24,155.17,230544444
1984-06-17,155.17,155.17,149.02,149.03,214333334
1984-06-24,149.03,155.64,148.53,154.46,285427777
1984-07-01,154.46,154.67,151.3,153.18,223488889
1984-07-08,153.16,153.87,151.63,152.24,150633333
1984-07-15,152.24,153.53,149.63,150.88,222172222
1984-07-22,150.88,152.6,149.07,149.55,220705556
1984-07-29,149.55,151.38,147.26,151.19,241466668
1984-08-05,151.19,162.56,149.65,162.35,386688888
1984-08-12,162.35,168.59,160.81,165.42,419000000
1984-08-19,164.84,166.09,162.75,164.14,231344444
1984-08-26,164.14,168.8,163.76,167.51,262400000
1984-09-02,167.51,168.21,165.78,166.68,192877778
1984-09-09,166.68,166.68,163.84,164.37,170772223
1984-09-16,164.37,169.65,163.06,168.78,278661111
1984-09-23,168.78,169.37,165.66,165.67,293900000
1984-09-30,165.67,167.2,164.45,166.1,239255556
1984-10-07,166.1,166.1,162.2,162.68,230577777
